,ID,Is Library,Duplicated Count,Name Manual,Name Normalized - No Space,Name with Owner,Stars Count,Description,Keywords,URL,Homepage URL,Host Type,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Size,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,Dummy,SCM type,Pull requests enabled,Logo URL,Name,Owner,Name Normalized,Host Repo IDs
201,2847494,y,4,,dockerfiles,Kaixhin/dockerfiles,416.0,Compilation of Dockerfiles with automated builds enabled on the Docker Registry,"cuda,deep-learning,docker,dockerfiles,machine-learning,vnc",https://github.com/Kaixhin/dockerfiles,https://hub.docker.com/u/kaixhin/,GitHub,False,2015-02-28 14:12:33 UTC,2018-04-04 03:05:56 UTC,2018-03-27 01:44:47 UTC,415.0,Shell,True,True,False,118.0,,3.0,master,30.0,31464477,,MIT,1,,,,,,,,,2017-11-24 18:02:03 UTC,8,GitHub,,git,,,dockerfiles,Kaixhin,dockerfiles,2847494
209,12387655,y,4,,automl,ClimbsRocks/auto_ml,757.0,Automated machine learning for analytics & production,"analytics,artificial-intelligence,automated-machine-learning,automl,data-science,deep-learning,deeplearning,feature-engineering,gradient-boosting,hyperparameter-optimization,keras,lightgbm,machine-learning,machine-learning-library,machine-learning-pipelines,production-ready,python,scikit-learn,tensorflow,xgboost",https://github.com/ClimbsRocks/auto_ml,http://auto-ml.readthedocs.io/,GitHub,False,2016-08-07 21:35:08 UTC,2018-05-05 01:17:34 UTC,2018-04-25 11:22:37 UTC,1636.0,Python,True,True,False,138.0,,154.0,master,58.0,65155092,,MIT,11,README.md,,,LICENSE,,,,,2018-02-22 01:56:21 UTC,9,GitHub,,git,,,auto_ml,ClimbsRocks,auto ml,12387655
213,25065364,y,3,,xlearn,aksnzhy/xlearn,2587.0,"High performance, easy-to-use, and scalable machine learning (ML) package, including linear model (LR), factorization machines (FM), and field-aware factorization machines (FFM) for Python and CLI interface.","data-analysis,data-science,factorization-machines,ffm,fm,machine-learning,statistics",https://github.com/aksnzhy/xlearn,https://xlearn-doc.readthedocs.io/en/latest/index.html/,GitHub,False,2017-06-10 08:09:31 UTC,2019-12-23 07:43:29 UTC,2019-11-26 04:58:26 UTC,11158.0,C++,True,True,False,450.0,,152.0,master,105.0,93925242,,Apache-2.0,16,README.md,,,LICENSE,,,,,2018-10-16 05:00:13 UTC,8,GitHub,,git,,,xlearn,aksnzhy,xlearn,25065364
214,39467478,y,3,,xlearn,ankane/xlearn,25.0,xLearn - the high performance machine learning library - for Ruby,,https://github.com/ankane/xlearn,,GitHub,False,2019-10-12 02:02:09 UTC,2019-10-23 20:29:06 UTC,2019-10-15 07:07:12 UTC,76.0,Ruby,True,False,False,1.0,,1.0,master,1.0,214559912,,MIT,1,README.md,CHANGELOG.md,,LICENSE.txt,,,,,2019-10-23 20:29:06 UTC,4,GitHub,,git,,,xlearn,ankane,xlearn,39467478
216,3109714,y,3,,tensorflow,tensorflow/tensorflow,139939.0,An Open Source Machine Learning Framework for Everyone,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",https://github.com/tensorflow/tensorflow,https://tensorflow.org/,GitHub,False,2015-11-07 01:19:20 UTC,2020-01-12 09:44:27 UTC,2020-01-12 10:23:32 UTC,471757.0,C++,True,False,False,79449.0,,3248.0,master,8523.0,45717250,,Apache-2.0,783,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-12-10 10:22:11 UTC,15,GitHub,,git,,,tensorflow,tensorflow,tensorflow,3109714
219,38722051,y,3,,spark,dotnet/spark,1249.0,.NET for Apache® Spark™ makes Apache Spark™ easily accessible to .NET developers.,"analytics,apache-spark,azure,bigdata,csharp,databricks,dotnet,dotnet-core,dotnet-standard,emr,fsharp,hdinsight,machine-learning,microsoft,spark,spark-sql,spark-streaming,streaming,tpcds,tpch",https://github.com/dotnet/spark,https://dot.net/spark/,GitHub,False,2019-04-22 18:55:55 UTC,2019-12-04 21:18:50 UTC,2019-12-04 20:39:09 UTC,2147.0,C#,True,True,False,153.0,,74.0,master,77.0,182849051,,MIT,22,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-12-04 21:18:50 UTC,8,GitHub,,git,,,spark,dotnet,spark,38722051
231,845062,y,3,,pattern,clips/pattern,6263.0,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization.","machine-learning,natural-language-processing,network-analysis,python,sentiment-analysis,web-mining,wordnet",https://github.com/clips/pattern,http://clips.ua.ac.be/pages/pattern/,GitHub,False,2011-05-03 15:29:01 UTC,2018-05-06 10:09:50 UTC,2018-04-12 09:44:39 UTC,45265.0,Python,True,True,False,1225.0,,104.0,master,566.0,1696822,,BSD-3-Clause,20,README.txt,,,LICENSE.txt,,,,,2017-11-24 18:52:31 UTC,10,GitHub,,git,t,https://gitlab.com/uploads/project/avatar/1696822/danger_icon.png,pattern,clips,pattern,845062
237,851991,y,3,,opencv,opencv/opencv,41126.0,Open Source Computer Vision Library,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",https://github.com/opencv/opencv,https://opencv.org/,GitHub,False,2012-07-19 09:40:17 UTC,2019-12-31 11:17:19 UTC,2019-12-31 10:17:46 UTC,477763.0,C++,True,True,False,31410.0,,1772.0,master,2576.0,5108051,,Other,465,,,,,,,,,2017-11-24 18:52:17 UTC,11,GitHub,,git,,,opencv,opencv,opencv,851991
240,886025,y,3,,ocr,mateogianolio/ocr,1047.0,Neural network OCR.,,https://github.com/mateogianolio/ocr,,GitHub,False,2015-03-10 18:26:12 UTC,2018-03-29 07:57:50 UTC,2016-07-07 12:48:38 UTC,12470.0,JavaScript,True,False,False,94.0,,0.0,master,60.0,31974346,,Other,3,,,,,,,,,2017-11-24 18:52:33 UTC,5,GitHub,,git,,,ocr,mateogianolio,ocr,886025
244,22309865,y,3,,nlp,james-bowman/nlp,139.0,Selected Machine Learning algorithms for natural language processing and semantic analysis in Golang,"feature-hash,go,golang,latent-dirichlet-allocation,latent-semantic-analysis,latent-semantic-indexing,lda,locality-sensitive-hashing,lsa,lsh,lsi,machine-learning,natural-language-processing,nlp,random-indexing,random-projections,simhash,singular-value-decomposition,svd,tf-idf",https://github.com/james-bowman/nlp,,GitHub,False,2017-03-15 08:28:05 UTC,2018-06-11 01:09:01 UTC,2018-05-30 17:46:04 UTC,379.0,Go,True,True,False,16.0,,1.0,master,17.0,85047530,,MIT,1,t,f,f,f,f,f,f,,2017-03-25 12:26:01 UTC,6,GitHub,,git,,,nlp,james-bowman,nlp,22309865
246,24983080,y,3,,modelzoo,FluxML/model-zoo,137.0,Please do not feed the models,"deep-learning,flux,julia,machine-learning,model-zoo",https://github.com/FluxML/model-zoo,https://fluxml.ai/,GitHub,False,2017-06-06 19:23:23 UTC,2019-02-23 23:52:59 UTC,2019-02-20 02:55:55 UTC,392.0,Julia,True,True,False,78.0,,37.0,master,19.0,93555389,,Other,1,,,,,,,,,2017-06-06 19:33:09 UTC,6,GitHub,,git,,,model-zoo,FluxML,model zoo,24983080
249,23438367,y,3,,models,PaddlePaddle/models,3735.0,Pre-trained and Reproduced Deep Learning Models （『飞桨』官方模型库，包含多种学术前沿和工业场景验证的深度学习模型）,"paddlenlp-nlp,paddlepaddle",https://github.com/PaddlePaddle/models,,GitHub,False,2017-04-20 13:30:15 UTC,2019-12-26 07:17:07 UTC,2019-12-26 07:17:05 UTC,284375.0,Python,True,True,False,1746.0,,628.0,develop,215.0,88868842,,Apache-2.0,183,README.md,,,LICENSE,,,,,2019-12-23 14:55:59 UTC,9,GitHub,,git,,,models,PaddlePaddle,models,23438367
255,36743724,y,3,,Infer.NET,dotnet/infer,1165.0,Infer.NET is a framework for running Bayesian inference in graphical models,"bayesian-inference,machine-learning",https://github.com/dotnet/infer,https://dotnet.github.io/infer/,GitHub,False,2018-09-14 23:49:02 UTC,2019-12-04 15:18:53 UTC,2019-12-04 14:39:04 UTC,23188.0,C#,True,True,True,174.0,,11.0,master,101.0,148852400,,MIT,8,README.md,,CONTRIBUTING.md,LICENSE.txt,,,,,2018-10-07 16:42:47 UTC,7,GitHub,,git,,,infer,dotnet,infer,36743724
256,30583387,y,3,,infer,aria42/infer,169.0,inference and machine learning in clojure,,https://github.com/aria42/infer,,GitHub,False,2010-08-19 23:00:39 UTC,2018-01-16 18:07:36 UTC,2015-12-29 23:25:39 UTC,363.0,Clojure,False,True,False,40.0,,2.0,master,14.0,850057,,,3,README.md,,,,,,,,2018-01-16 18:07:35 UTC,4,GitHub,,git,,,infer,aria42,infer,30583387
258,95902,y,3,,dnn,junku901/dnn,144.0,"Deep learning library for node.js. (Includes Logistic-Regression, MLP, RBM, DBN, CRBM, CDBN)",,https://github.com/junku901/dnn,,GitHub,False,2014-01-16 14:52:57 UTC,2017-01-31 04:03:33 UTC,2016-09-25 06:30:04 UTC,21.0,JavaScript,True,True,False,20.0,,3.0,master,10.0,15970764,,MIT,1,README.md,,,,,,,,2016-11-24 14:01:31 UTC,6,GitHub,,,,,dnn,junku901,dnn,95902
261,10661363,y,3,,deepspeech,mozilla/DeepSpeech,12710.0,A TensorFlow implementation of Baidu's DeepSpeech architecture,"deep-learning,machine-learning,neural-networks,speech-recognition,speech-to-text,tensorflow",https://github.com/mozilla/DeepSpeech,,GitHub,False,2016-06-02 15:04:53 UTC,2020-01-10 17:08:50 UTC,2020-01-10 18:45:03 UTC,47595.0,C++,True,True,False,2373.0,,73.0,master,594.0,60273704,,MPL-2.0,93,README.rst,,CONTRIBUTING.rst,LICENSE,CODE_OF_CONDUCT.md,,,,2019-12-13 17:14:19 UTC,10,GitHub,,git,,,DeepSpeech,mozilla,deepspeech,10661363
264,36724859,y,3,,dali,NVIDIA/DALI,2153.0,A library containing both highly optimized building blocks and an execution engine for data pre-processing in deep learning applications,"data-augmentation,data-processing,deep-learning,fast-data-pipeline,image-augmentation,image-processing,machine-learning,neural-network,python",https://github.com/NVIDIA/DALI,https://docs.nvidia.com/deeplearning/sdk/dali-developer-guide/index.html/,GitHub,False,2018-06-01 22:18:01 UTC,2019-12-14 02:00:59 UTC,2019-12-13 22:41:51 UTC,102047.0,C++,True,True,False,256.0,,147.0,master,77.0,135768037,,Other,16,README.rst,,CONTRIBUTING.md,LICENSE,,,,,2018-10-03 08:59:34 UTC,7,GitHub,,git,,,DALI,NVIDIA,dali,36724859
276,852009,y,2,,vowpalwabbit,VowpalWabbit/vowpal_wabbit,6767.0,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.","active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",https://github.com/VowpalWabbit/vowpal_wabbit,http://hunch.net/~vw/,GitHub,False,2009-07-31 19:36:58 UTC,2019-12-07 17:44:56 UTC,2019-12-07 17:04:34 UTC,126492.0,C++,True,True,False,1592.0,,106.0,master,409.0,265995,,Other,183,README.md,,,LICENSE,,,,,2019-12-07 17:44:56 UTC,12,GitHub,,git,,,vowpal_wabbit,VowpalWabbit,vowpal wabbit,852009
285,40543384,y,2,,textsummarization,idanmoradarthas/text-summarization,6.0,Summarizer in python with Spacy and Universal Sentence Encoder build on Flask framework,"deep-learning,flask-application,networkx,nlp-machine-learning,spacy,summarization,tensorflow,universal-sentence-encoder",https://github.com/idanmoradarthas/text-summarization,,GitHub,False,2019-06-11 10:59:07 UTC,2019-11-19 09:30:34 UTC,2019-10-03 12:26:10 UTC,328.0,Python,True,True,True,0.0,,0.0,master,0.0,191353313,,MIT,1,README.md,,,LICENSE,,,,,2019-11-19 09:30:34 UTC,4,GitHub,,git,,,text-summarization,idanmoradarthas,text summarization,40543384
288,38520927,y,2,,sqlflow,sql-machine-learning/sqlflow,3458.0,Brings SQL and AI together.,"ai,databases,deep-learning,machine-learning,sql-syntax,sqlflow,transpiler",https://github.com/sql-machine-learning/sqlflow,https://sqlflow.org/,GitHub,False,2018-10-04 06:00:50 UTC,2019-12-31 01:44:07 UTC,2019-12-31 01:38:35 UTC,7753.0,Go,True,True,False,533.0,,176.0,develop,150.0,151525500,,Apache-2.0,27,README.md,,,LICENSE,,,,,2019-12-31 01:44:07 UTC,9,GitHub,,git,,,sqlflow,sql-machine-learning,sqlflow,38520927
290,4617322,y,2,,spike,OFTNAI/Spike,13.0,A GPGPU based Spiking Neural Network (SNN) designed to be as transparent and easy to modify as possible. Written in C++/CUDA.,,https://github.com/OFTNAI/Spike,http://oftnai.github.io/Spike/,GitHub,False,2016-01-21 21:30:29 UTC,2018-03-30 13:24:52 UTC,2018-03-28 14:53:09 UTC,60737.0,Cuda,True,True,True,4.0,,10.0,master,7.0,50138105,,MIT,3,README.md,,,LICENSE,,,,,2017-11-24 23:28:06 UTC,6,GitHub,,git,,,Spike,OFTNAI,spike,4617322
294,34802812,y,2,,speechrecognition,jamalmahfuz/Speech-Recognition,8.0,End-to-end Automatic Speech Recognition for Madarian and English in Tensorflow,"audio,cnn,data-processing,deep-learning,end-to-end,feature-vector,layer-normalization,lstm,phonemes,rnn,rnn-encoder-decoder,speech-recognition,tensorflow,timit-dataset",https://github.com/jamalmahfuz/Speech-Recognition,,GitHub,False,2018-03-29 18:53:23 UTC,2018-03-30 02:21:05 UTC,2018-03-29 19:05:31 UTC,5744.0,Python,True,True,False,0.0,,0.0,master,1.0,127334381,,MIT,1,README.md,,,LICENSE,,,,,2018-03-30 02:21:04 UTC,3,GitHub,,git,,,Speech-Recognition,jamalmahfuz,speech recognition,34802812
298,396062,y,2,,rustnn,jackm321/RustNN,281.0,A neural network crate,,https://github.com/jackm321/RustNN,,GitHub,False,2015-03-27 08:34:35 UTC,2018-03-18 13:24:54 UTC,2017-12-21 15:19:41 UTC,1727.0,Rust,True,True,True,25.0,,4.0,master,11.0,32975573,,Apache-2.0,2,README.md,,,LICENSE-APACHE,,,,,2016-11-24 16:09:21 UTC,6,GitHub,,git,,,RustNN,jackm321,rustnn,396062
302,29176751,y,2,,rainbow,Kaixhin/Rainbow,317.0,Rainbow: Combining Improvements in Deep Reinforcement Learning,"deep-learning,deep-reinforcement-learning",https://github.com/Kaixhin/Rainbow,,GitHub,False,2017-10-09 07:21:24 UTC,2018-05-07 13:52:51 UTC,2018-04-09 00:30:20 UTC,103.0,Python,True,True,False,36.0,,1.0,master,27.0,106249690,,MIT,1,README.md,,,LICENSE.md,,,,,2017-10-10 19:43:50 UTC,5,GitHub,,git,,,Rainbow,Kaixhin,rainbow,29176751
304,24790838,y,2,,qml,qmlcode/qml,54.0,QML: Quantum Machine Learning,,https://github.com/qmlcode/qml,,GitHub,False,2017-04-22 04:48:38 UTC,2018-10-24 08:47:07 UTC,2018-10-09 15:25:39 UTC,15130.0,Python,True,True,False,29.0,,19.0,master,18.0,89045103,,MIT,2,README.md,,,LICENSE,,,,,2018-10-24 08:47:07 UTC,6,GitHub,,git,,,qml,qmlcode,qml,24790838
306,36723341,y,2,,pythia,facebookresearch/pythia,2887.0,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),"captioning,deep-learning,dialog,multimodal,pretrained-models,pythia,pytorch,vqa",https://github.com/facebookresearch/pythia,https://learnpythia.readthedocs.io/,GitHub,False,2018-06-27 04:52:40 UTC,2019-11-09 16:23:21 UTC,2019-11-07 19:03:00 UTC,6754.0,Python,True,False,False,362.0,,38.0,master,96.0,138831170,,Other,4,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2019-01-04 22:36:32 UTC,7,GitHub,,git,,,pythia,facebookresearch,pythia,36723341
308,38702483,y,2,,planet,Kaixhin/PlaNet,170.0,Deep Planning Network: Control from pixels by latent planning with learned dynamics,"deep-learning,deep-reinforcement-learning",https://github.com/Kaixhin/PlaNet,,GitHub,False,2019-04-23 11:33:03 UTC,2019-11-08 16:41:42 UTC,2019-10-05 02:40:28 UTC,71.0,Python,True,True,False,23.0,,2.0,master,7.0,183001151,,MIT,1,README.md,,CONTRIBUTING.md,LICENSE.md,,,,,2019-04-25 10:17:03 UTC,6,GitHub,,git,,,PlaNet,Kaixhin,planet,38702483
310,2699195,y,2,,PipelineAI,PipelineAI/pipeline,3889.0,PipelineAI Kubeflow Distribution,"airflow,artificial-intelligence,cassandra,docker,gpu,kafka,keras,kubeflow,kubernetes,machine-learning,neural-network,pipelineai,pytorch,redis,scikit-learn,spark,tensorflow,tfx",https://github.com/PipelineAI/pipeline,https://pipeline.ai/,GitHub,False,2015-07-08 03:49:23 UTC,2019-12-15 14:30:43 UTC,2019-11-02 00:39:42 UTC,91933.0,Jsonnet,True,True,False,951.0,,1.0,master,344.0,38730494,,Apache-2.0,13,README.md,,CONTRIBUTING.md,LICENSE,CODE_OF_CONDUCT.md,,,,2017-09-17 19:52:02 UTC,8,GitHub,,git,,,pipeline,PipelineAI,pipeline,2699195
312,279980,y,2,,oryx,OryxProject/oryx,1609.0,"Oryx 2: Lambda architecture on Apache Spark, Apache Kafka for real-time large scale machine learning","apache-kafka,apache-spark,cloudera,java,kafka,lambda-architecture,machine-learning,oryx",https://github.com/OryxProject/oryx,http://oryx.io/,GitHub,False,2014-07-25 20:08:44 UTC,2019-04-18 10:57:17 UTC,2019-02-27 20:15:12 UTC,7283.0,Java,True,False,True,380.0,,4.0,master,211.0,22269384,,Apache-2.0,14,README.md,,.github/CONTRIBUTING.md,LICENSE,,,,,2018-12-01 21:02:27 UTC,10,GitHub,,git,,,oryx,OryxProject,oryx,279980
314,10540491,y,2,,origami,Cloud-CV/Origami,61.0,:unlock: :key: :closed_lock_with_key: Origami: Artificial Intelligence as a Service,"ai-as-a-service,artificial-intelligence,computer-vision,docker,flask,machine-learning,mongodb,python,reactjs",https://github.com/Cloud-CV/Origami,,GitHub,False,2016-05-28 17:49:50 UTC,2018-06-12 21:41:32 UTC,2018-06-07 13:13:49 UTC,3990.0,JavaScript,True,True,False,53.0,,42.0,master,11.0,59907474,,AGPL-3.0,1,README.md,,,LICENSE,,,,,2016-05-28 17:50:17 UTC,6,GitHub,,git,,,Origami,Cloud-CV,origami,10540491
315,8430530,y,2,,origami,tlverse/origami,18.0,Comprehensive Cross-Validation Engine,"cross-validation,machine-learning",https://github.com/tlverse/origami,https://tlverse.org/origami/,GitHub,False,2014-07-18 21:18:14 UTC,2019-10-11 18:37:59 UTC,2019-08-24 20:24:07 UTC,892.0,R,True,True,True,8.0,,4.0,master,4.0,21994761,,GPL-3.0,7,README.Rmd,,CONTRIBUTING.md,LICENSE,,,,,2019-10-11 18:37:58 UTC,8,GitHub,,git,,,origami,tlverse,origami,8430530
316,3241595,y,2,,optimus,flipkart-incubator/optimus,103.0,"Train, evaluate and deploy Deep Learning based text classifiers. Currently supports CNN",,https://github.com/flipkart-incubator/optimus,,GitHub,False,2015-07-14 09:01:00 UTC,2019-04-02 01:52:58 UTC,2015-11-13 16:41:02 UTC,369.0,Python,True,True,False,51.0,,5.0,master,53.0,39064726,,Apache-2.0,4,README.md,,,LICENSE,,,,,2017-11-24 18:33:06 UTC,5,GitHub,,git,,,optimus,flipkart-incubator,optimus,3241595
317,23512093,y,2,,optimus,Yatoom/Optimus,5.0,Automated machine learning tool with integration for OpenML,,https://github.com/Yatoom/Optimus,,GitHub,False,2017-04-14 21:45:12 UTC,2017-12-31 03:57:19 UTC,2017-08-05 15:21:19 UTC,205.0,Python,True,True,False,2.0,,0.0,master,1.0,88305575,,,1,README.md,,,,,,,,2017-04-24 10:26:33 UTC,2,GitHub,,git,,,Optimus,Yatoom,optimus,23512093
318,844820,y,2,,neuralnetworks,ivan-vasilev/neuralnetworks,1176.0,java deep learning algorithms and deep neural networks with gpu acceleration,,https://github.com/ivan-vasilev/neuralnetworks,,GitHub,False,2013-09-02 15:32:37 UTC,2018-04-24 01:55:04 UTC,2017-11-26 03:25:39 UTC,192738.0,Java,True,True,False,391.0,,17.0,master,178.0,12543287,,MIT,4,,,,,,,,,2017-11-24 18:43:36 UTC,8,GitHub,,git,,,neuralnetworks,ivan-vasilev,neuralnetworks,844820
321,26503605,y,2,Neodroid,neo,sintefneodroid/neo,5.0,Python interface for the Neodroid platform 💻,"agent,api,blazing,deep-learning,droid,fast,interface,ml,neo,neodroid,neural-network,python,reinforcement-learning,rl,serves,unity",https://github.com/sintefneodroid/neo,https://neodroid.ml/,GitHub,False,2017-07-25 07:38:35 UTC,2019-12-04 09:41:41 UTC,2019-12-04 09:41:36 UTC,209705.0,Python,True,True,True,4.0,,1.0,master,3.0,98278558,,Apache-2.0,3,README.md,,.github/CONTRIBUTING.md,LICENSE.md,.github/CODE_OF_CONDUCT.md,,,,2019-12-04 09:41:41 UTC,6,GitHub,,git,,,neo,sintefneodroid,neo,26503605
322,39319747,y,2,,nemo,NVIDIA/NeMo,937.0,Neural Modules: a toolkit for conversational AI,"deep-learning,neural-network,nlp,nlp-machine-learning,speech-recognition",https://github.com/NVIDIA/NeMo,https://nvidia.github.io/NeMo/,GitHub,False,2019-08-05 20:16:42 UTC,2019-12-16 22:44:42 UTC,2019-12-16 21:55:09 UTC,22904.0,Python,True,True,True,96.0,,16.0,master,60.0,200722670,,Apache-2.0,23,README.rst,,CONTRIBUTING.md,LICENSE,,,,,2019-12-16 22:44:42 UTC,8,GitHub,,git,,,NeMo,NVIDIA,nemo,39319747
